RNA_Name,Sequence_Length,GC_Content,AT_Content,A_Count,C_Count,G_Count,T_Count,N_Count,Max_Streak,Start_Codon,Max_Palindrome_Length,Melting_Temp,Molecular_Weight,Codon_Usage_Bias,Entropy,Linguistic_Complexity,Repeat_Region_Count,Dinucleotide_AA,Dinucleotide_AC,Dinucleotide_AG,Dinucleotide_AT,Dinucleotide_CA,Dinucleotide_CC,Dinucleotide_CG,Dinucleotide_CT,Dinucleotide_GA,Dinucleotide_GC,Dinucleotide_GG,Dinucleotide_GT,Dinucleotide_TA,Dinucleotide_TC,Dinucleotide_TG,Dinucleotide_TT
5_8S_rRNA,209,0.4019138755980861,0.41626794258373206,48,42,42,39,0,4,38,1,38,56.57346889952154,52869.869999999966,5.0613828236501535,1.9958434500691784,0.7543859649122807,0.07692307692307693,0.04807692307692308,0.038461538461538464,0.0625,0.0625,0.03365384615384615,0.0673076923076923,0.038461538461538464,0.07692307692307693,0.0625,0.028846153846153848,0.028846153846153848,0.009615384615384616,0.057692307692307696,0.0625,0.057692307692307696,633
5_8S_rRNA,160,0.475,0.525,41,34,42,43,0,3,0,1,13,59.57000000000001,49580.71999999996,5.109903709239361,1.9941775636326677,0.7875,0.07547169811320754,0.050314465408805034,0.06289308176100629,0.06918238993710692,0.05660377358490566,0.031446540880503145,0.05660377358490566,0.06918238993710692,0.08176100628930817,0.06918238993710692,0.03773584905660377,0.06918238993710692,0.03773584905660377,0.06289308176100629,0.1069182389937107,0.06289308176100629,83
5_8S_rRNA,155,0.45806451612903226,0.5419354838709678,46,33,38,38,0,4,0,1,10,58.87564516129033,48019.79999999996,4.985767498664559,1.9897286185699534,0.7483870967741936,0.11688311688311688,0.05194805194805195,0.045454545454545456,0.08441558441558442,0.05844155844155844,0.032467532467532464,0.07142857142857142,0.05194805194805195,0.09090909090909091,0.05844155844155844,0.03896103896103896,0.05194805194805195,0.025974025974025976,0.07142857142857142,0.09090909090909091,0.05844155844155844,83
5_8S_rRNA,152,0.4934210526315789,0.506578947368421,40,34,41,37,0,4,0,1,7,60.32526315789474,47113.15999999996,4.918562939644917,1.9962152297881999,0.7828947368421053,0.08609271523178808,0.052980132450331126,0.059602649006622516,0.059602649006622516,0.07947019867549669,0.019867549668874173,0.06622516556291391,0.059602649006622516,0.059602649006622516,0.08609271523178808,0.052980132450331126,0.0728476821192053,0.039735099337748346,0.059602649006622516,0.09271523178807947,0.052980132450331126,65
5_8S_rRNA,155,0.4645161290322581,0.535483870967742,43,35,37,40,0,4,0,1,10,59.14016129032259,47937.69999999996,4.804490783020705,1.995600609345014,0.7612903225806451,0.09740259740259741,0.05194805194805195,0.045454545454545456,0.08441558441558442,0.045454545454545456,0.025974025974025976,0.11688311688311688,0.03896103896103896,0.11038961038961038,0.07142857142857142,0.012987012987012988,0.03896103896103896,0.01948051948051948,0.07792207792207792,0.06493506493506493,0.09740259740259741,111
5_8S_rRNA,157,0.5477707006369427,0.45222929936305734,33,40,46,38,0,4,0,1,9,62.55359872611466,48606.00999999997,4.750745910732359,1.9898613525616762,0.7579617834394905,0.0641025641025641,0.05128205128205128,0.04487179487179487,0.05128205128205128,0.0641025641025641,0.019230769230769232,0.08974358974358974,0.07692307692307693,0.07051282051282051,0.09615384615384616,0.08333333333333333,0.04487179487179487,0.00641025641025641,0.08974358974358974,0.07692307692307693,0.07051282051282051,115
5_8S_rRNA,155,0.5096774193548387,0.49032258064516127,35,36,43,41,0,4,0,1,8,60.991774193548395,48000.64999999998,4.936939557572929,1.9946326485869554,0.8,0.05194805194805195,0.06493506493506493,0.05844155844155844,0.045454545454545456,0.06493506493506493,0.025974025974025976,0.07792207792207792,0.06493506493506493,0.07142857142857142,0.07792207792207792,0.045454545454545456,0.08441558441558442,0.032467532467532464,0.06493506493506493,0.09740259740259741,0.07142857142857142,83
5_8S_rRNA,156,0.4807692307692308,0.3717948717948718,32,34,41,26,0,3,0,1,7,59.806538461538466,41261.38999999995,4.6875,2.5488730568844815,0.8333333333333334,0.05806451612903226,0.03225806451612903,0.03870967741935484,0.05806451612903226,0.03225806451612903,0.03870967741935484,0.05806451612903226,0.03870967741935484,0.06451612903225806,0.07096774193548387,0.04516129032258064,0.03870967741935484,0.01935483870967742,0.05161290322580645,0.06451612903225806,0.01935483870967742,52
5_8S_rRNA,156,0.46153846153846156,0.391025641025641,35,33,39,26,0,3,0,1,6,59.01807692307693,41253.419999999955,4.542748326446119,2.616772736873556,0.8397435897435898,0.06451612903225806,0.025806451612903226,0.03870967741935484,0.06451612903225806,0.01935483870967742,0.025806451612903226,0.07096774193548387,0.025806451612903226,0.07096774193548387,0.08387096774193549,0.05161290322580645,0.025806451612903226,0.025806451612903226,0.05161290322580645,0.05161290322580645,0.012903225806451613,44
5_8S_rRNA,150,0.49333333333333335,0.5066666666666667,34,34,40,42,0,4,0,1,7,60.32166666666667,46425.63999999998,4.928367439558378,1.9934724987810444,0.7933333333333333,0.06040268456375839,0.04697986577181208,0.040268456375838924,0.0738255033557047,0.06040268456375839,0.026845637583892617,0.087248322147651,0.053691275167785234,0.0738255033557047,0.087248322147651,0.03355704697986577,0.0738255033557047,0.026845637583892617,0.06711409395973154,0.10738255033557047,0.08053691275167785,95
